datetime,signal,instrument,strike,entry,exit,pnl
2023-01-05 11:25:00+05:30,-1,NIFTY05JAN2318050CE,18050.0,27.8,27.55,0.25
2023-01-05 12:15:00+05:30,1,NIFTY05JAN2318000CE,18000.0,32.35,31.65,-0.7000000000000028
2023-01-05 12:30:00+05:30,-1,NIFTY05JAN2317950CE,17950.0,41.85,45.95,-4.100000000000001
2023-01-05 12:55:00+05:30,1,NIFTY05JAN2317950CE,17950.0,34.75,34.05,-0.7000000000000028
2023-01-05 13:25:00+05:30,-1,NIFTY05JAN2317950CE,17950.0,17.65,18.4,-0.75
2023-01-05 13:45:00+05:30,1,NIFTY05JAN2317900CE,17900.0,38.45,39.45,1.0
2023-01-06 09:25:00+05:30,-1,NIFTY12JAN2318000CE,18000.0,128.65,137.85,-9.199999999999989
2023-01-06 09:35:00+05:30,1,NIFTY12JAN2318000CE,18000.0,140.75,153.95,13.199999999999989
2023-01-06 09:55:00+05:30,-1,NIFTY12JAN2318000CE,18000.0,129.4,118.4,11.0
2023-01-06 11:40:00+05:30,1,NIFTY12JAN2317950CE,17950.0,115.25,115.8,0.5499999999999972
2023-01-06 12:15:00+05:30,-1,NIFTY12JAN2317950CE,17950.0,107.8,107.3,0.5
2023-01-06 13:35:00+05:30,1,NIFTY12JAN2317800CE,17800.0,147.9,147.45,-0.45000000000001705
2023-01-06 14:15:00+05:30,-1,NIFTY12JAN2317800CE,17800.0,143.7,139.8,3.8999999999999773
2023-01-06 14:25:00+05:30,1,NIFTY12JAN2317800CE,17800.0,157.55,160.0,2.4499999999999886
2023-01-09 09:55:00+05:30,-1,NIFTY12JAN2318000CE,18000.0,124.65,132.75,-8.099999999999994
2023-01-09 11:20:00+05:30,1,NIFTY12JAN2318100CE,18100.0,113.45,113.85,0.3999999999999915
2023-01-09 11:55:00+05:30,-1,NIFTY12JAN2318150CE,18150.0,94.6,94.5,0.09999999999999432
2023-01-09 14:05:00+05:30,1,NIFTY12JAN2318050CE,18050.0,94.5,91.9,-2.5999999999999943
2023-01-10 09:20:00+05:30,-1,NIFTY12JAN2318050CE,18050.0,92.7,92.0,0.7000000000000028
2023-01-10 10:20:00+05:30,1,NIFTY12JAN2318000CE,18000.0,91.15,86.35,-4.800000000000011
2023-01-10 10:35:00+05:30,-1,NIFTY12JAN2318000CE,18000.0,75.25,76.7,-1.4500000000000028
2023-01-10 11:05:00+05:30,1,NIFTY12JAN2317950CE,17950.0,96.7,94.55,-2.1500000000000057
2023-01-10 11:20:00+05:30,-1,NIFTY12JAN2317950CE,17950.0,101.45,97.05,4.400000000000006
2023-01-10 11:55:00+05:30,1,NIFTY12JAN2317950CE,17950.0,89.9,89.5,-0.4000000000000057
2023-01-10 12:45:00+05:30,-1,NIFTY12JAN2317950CE,17950.0,74.15,75.1,-0.9499999999999886
2023-01-10 13:15:00+05:30,1,NIFTY12JAN2317900CE,17900.0,89.0,89.85,0.8499999999999943
2023-01-10 13:45:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,79.35,79.55,-0.20000000000000284
2023-01-10 13:55:00+05:30,1,NIFTY12JAN2317900CE,17900.0,93.35,93.2,-0.14999999999999147
2023-01-10 14:30:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,82.0,80.1,1.9000000000000057
2023-01-10 14:55:00+05:30,1,NIFTY12JAN2317900CE,17900.0,89.1,89.4,0.30000000000001137
2023-01-11 09:20:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,81.15,82.1,-0.9499999999999886
2023-01-11 09:45:00+05:30,1,NIFTY12JAN2317900CE,17900.0,77.3,79.9,2.6000000000000085
2023-01-11 10:50:00+05:30,-1,NIFTY12JAN2317950CE,17950.0,81.3,80.85,0.45000000000000284
